source,path,shape,dtype,size,min,max,mean,sum,sha256
DataBase\data\120\120.binary.bgData,BG_SETUP/Aperture/RIBBON_VISIBILITY_AUTOAPERTURE_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Aperture/RIBBON_VISIBILITY_BEAMWIDTHAPERTURE_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Aperture/RIBBON_VISIBILITY_MANUALAPERTURE_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Aperture/RIBBON_VISIBILITY_PARTITION_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_DISPLAY/BEAM_DISPLAY_2D/MAX_PALETTE_SCALE,[1],float64,1,100.0,100.0,100.0,100.0,00754a39f7de30495780d4c6242f680316f56bf4bf735c3681b3ac1d14f1512e
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_DISPLAY/BEAM_DISPLAY_2D/MIN_PALETTE_SCALE,[1],float64,1,0.0,0.0,0.0,0.0,af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_DISPLAY/BEAM_DISPLAY_2D/PALETTE,[1],|S22098,1,,,,,b5589b0c5b34e969414d3bc520c52465086b7b7cadc3a899cd8279586b797097
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_DISPLAY/BEAM_DISPLAY_2D/PAN_ZOOM/SCALE,[1],float64,1,1.399489,1.399489,1.399489,1.399489,061861abe41dec393a98c5a2cf166cf23c9381a00e986c9990e3ed992cfd6b1d
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_DISPLAY/BEAM_DISPLAY_2D/PAN_ZOOM/TRANSLATION,[1],|S33,1,,,,,9fbc310a8049c31e1e971ea044f5312468121818afd2178272f839835fa3e8f3
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_DISPLAY/BEAM_DISPLAY_2D/SHOW_DISPLAY_PROFILES,[1],uint8,1,1.0,1.0,1.0,1.0,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_DISPLAY/BEAM_DISPLAY_2D/SHOW_REFERENCE_PROFILES,[1],uint8,1,0.0,0.0,0.0,0.0,6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_DISPLAY/BEAM_DISPLAY_3D/PAN_ZOOM_ROTATE/ROTATE3D,[1],float64,1,149.9480000000003,149.9480000000003,149.9480000000003,149.9480000000003,efda856e83d37028e823cfc500ec9ab3e25210fd80bfd94a0242c695fe47a44f
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_DISPLAY/BEAM_DISPLAY_3D/PAN_ZOOM_ROTATE/SCALE3D,[1],float64,1,40.3,40.3,40.3,40.3,659583d11a913a33e2cc62292eb778637fa33988eaff81021806c14e8375e42a
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_DISPLAY/BEAM_DISPLAY_3D/PAN_ZOOM_ROTATE/TILT3D,[1],|S22,1,,,,,aeedcbeec10720348503dc619ec3db06629c138ce0a336b6b105a9d407b46b10
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_DISPLAY/BEAM_DISPLAY_3D/PAN_ZOOM_ROTATE/TRANSLATION3D,[1],|S40,1,,,,,aaff8edc57f63ee28db899998bb5267d9b467d5d9e729cfcd93177f2eb887d7b
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_DISPLAY/BEAM_DISPLAY_3D/RESOLUTION,[1],int32,1,5.0,5.0,5.0,5.0,2594b6a92ebfb1c3312deb7d01c015fb95e9fbe9bd7bc6b527af07813ec7b910
