z_mm,baseline_d4x_um,baseline_d4y_um,baseline_ellipticity,robust_d4x_um,robust_d4y_um,robust_ellipticity,point_d4x_um,point_d4y_um,point_ellipticity
178.5,2399.2871110815036,2517.9343795855684,1.0494510506708734,,2517.9343795855684,,,2517.9343795855684,
179.0,2380.9737604661245,2496.70877944124,1.048608271496641,,2496.70877944124,,,2496.70877944124,
179.5,2362.6833316183192,2475.4911960929103,1.0477456555285907,,2475.4911960929103,,,2475.4911960929103,
180.0,2344.4163610242867,2454.2818374592966,1.0468626129136076,,2454.2818374592966,,,2454.2818374592966,
180.5,2326.1734013228997,2433.0809186268734,1.0459585331184575,,2433.0809186268734,,,2433.0809186268734,
181.0,2307.955021888081,2411.888662157591,1.0450327841243998,,2411.888662157591,,,2411.888662157591,
181.5,2289.7618094350223,2390.7052984123766,1.044084711589395,,2390.7052984123766,,,2390.7052984123766,
182.0,2271.5943686513133,2369.531065891355,1.0431136379767434,,2369.531065891355,,,2369.531065891355,
182.5,2253.4533228540677,2348.3662115917878,1.042118861648978,,2348.3662115917878,,,2348.3662115917878,
183.0,2235.339314674216,2327.2109913848044,1.041099655925829,,2327.2109913848044,,,2327.2109913848044,
183.5,2217.253006769147,2306.065670412067,1.0400552681050743,,2306.065670412067,,,2306.065670412067,
184.0,2199.195082564965,2284.930523503593,1.0389849184450854,,2284.930523503593,,,2284.930523503593,
184.5,2181.1662470296706,2263.8058356180377,1.0378877991078885,,2263.8058356180377,,,2263.8058356180377,
185.0,2163.1672274786215,2242.6919023068453,1.0367630730615855,,2242.6919023068453,,,2242.6919023068453,
185.5,2145.198774413706,2221.5890302037515,1.0356098729409928,,2221.5890302037515,,,2221.5890302037515,
186.0,2127.2616623977083,2200.497537541255,1.0344272998654054,,2200.497537541255,,,2200.497537541255,
186.5,2109.356690965406,2179.417754695768,1.0332144222124409,,2179.417754695768,,,2179.417754695768,
187.0,2091.484685573018,2158.350024763289,1.0319702743469774,,2158.350024763289,,,2158.350024763289,
187.5,2073.646498587664,2137.294704167578,1.030693855304298,,2137.294704167578,,,2137.294704167578,
188.0,2055.843010318581,2116.2521633029446,1.0293841274266378,,2116.2521633029446,,,2116.2521633029446,
188.5,2038.075130091902,2095.2227872139383,1.028040014952471,,2095.2227872139383,,,2095.2227872139383,
189.0,2020.343797370872,2074.206976314377,1.0266604025580193,,2074.206976314377,,,2074.206976314377,
189.5,2002.6499829234415,2053.205147148343,1.02524413385064,,2053.205147148343,,,2053.205147148343,
190.0,1984.994690039255,2032.2177331959786,1.0237900098139758,,2032.2177331959786,,,2032.2177331959786,
190.5,1967.378955798117,2011.2451857271128,1.0222967872049848,,2011.2451857271128,,,2011.2451857271128,
191.0,1949.803852392084,1990.2879747059994,1.0207631769032808,,1990.2879747059994,,,1990.2879747059994,
191.5,1932.2704885034107,1969.3465897506876,1.0191878422135368,,1969.3465897506876,,,1969.3465897506876,
192.0,1914.7800107406279,1948.421541150824,1.0175693971221182,,1948.421541150824,,,1948.421541150824,
192.5,1897.3336051351178,1927.5133609479792,1.0159064045095603,,1927.5133609479792,,,1927.5133609479792,
193.0,1879.9324987005887,1906.622604082919,1.0141973743210346,,1906.622604082919,,,1906.622604082919,
193.5,1862.5779610579332,1885.7498496145827,1.0124407616975604,,1885.7498496145827,,,1885.7498496145827,
194.0,1845.2713061279878,1864.8957020159185,1.0106349650714015,,1864.8957020159185,,,1864.8957020159185,
194.5,1828.0138938947716,1844.0607925521338,1.0087783242298956,,1844.0607925521338,,,1844.0607925521338,
195.0,1810.8071322418168,1823.2457807473725,1.0068691183528509,,1823.2457807473725,,,1823.2457807473725,
195.5,1793.652478864235,1802.4513559463182,1.0049055640296913,,1802.4513559463182,,,1802.4513559463182,
196.0,1776.5514432591783,1781.6782389777568,1.0028858132636864,,1781.6782389777568,,,1781.6782389777568,
196.5,1759.5055887973747,1760.9271839277098,1.0008079514719284,,1760.9271839277098,,,1760.9271839277098,
197.0,1742.5165348783917,1740.1989800303877,1.001331775776563,,1740.1989800303877,,,1740.1989800303877,
197.5,1725.5859591722665,1719.4944536858977,1.0035426142104216,,1719.4944536858977,,,1719.4944536858977,
198.0,1708.7155999500962,1698.8144706143926,1.005828258180614,,1698.8144706143926,,,1698.8144706143926,
198.5,1691.9072585061028,1678.1599381571734,1.0081919011629044,,1678.1599381571734,,,1678.1599381571734,
199.0,1675.1628016735954,1657.5318077361446,1.010636896290715,,1657.5318077361446,,,1657.5318077361446,
199.5,1658.4841644371209,1636.931077484006,1.0131667650822798,,1636.931077484006,,,1636.931077484006,
200.0,1641.8733526429294,1616.358795058628,1.0157852066399502,,1616.358795058628,,,1616.358795058628,
